Value,"County, State"
115000.0,"Bureau, IL"
100000.0,"Wayne, IL"
124000.0,"Shelby, IL"
89900.0,"Randolph, IL"
89700.0,"Warren, IL"
129500.0,"Washington, IL"
106000.0,"Perry, IL"
115000.0,"Rock Island, IL"
62000.0,"Edgar, IL"
259804.0,"Will, IL"
325000.0,"Lake, IL"
89900.0,"Whiteside, IL"
279000.0,"Kane, IL"
105000.0,"Douglas, IL"
113900.0,"Wabash, IL"
157500.0,"McLean, IL"
200000.0,"Boone, IL"
91500.0,"Coles, IL"
89900.0,"Clay, IL"
167000.0,"Ogle, IL"
99925.0,"Iroquois, IL"
89500.0,"Knox, IL"
72750.0,"Greene, IL"
162000.0,"Menard, IL"
83750.0,"Montgomery, IL"
99900.0,"Logan, IL"
126500.0,"Henry, IL"
102500.0,"Union, IL"
240000.0,"Grundy, IL"
82200.0,"Vermilion, IL"
114900.0,"Peoria, IL"
83900.0,"Ford, IL"
99900.0,"Crawford, IL"
119900.0,"Marshall, IL"
98500.0,"Hancock, IL"
137400.0,"Piatt, IL"
99400.0,"Jackson, IL"
134000.0,"Madison, IL"
159900.0,"Kankakee, IL"
114900.0,"Marion, IL"
110000.0,"Mercer, IL"
115000.0,"Jefferson, IL"
88750.0,"Dewitt, IL"
129000.0,"Lee, IL"
66500.0,"Franklin, IL"
139900.0,"Saint Clair, IL"
99900.0,"Richland, IL"
124200.0,"Fayette, IL"
134900.0,"La Salle, IL"
125000.0,"Winnebago, IL"
74500.0,"Fulton, IL"
148500.0,"Clinton, IL"
289999.0,"Cook, IL"
134900.0,"Adams, IL"
129900.0,"Morgan, IL"
109500.0,"Macon, IL"
194950.0,"DeKalb, IL"
174900.0,"Woodford, IL"
95000.0,"Livingston, IL"
249999.0,"Kendall, IL"
180450.0,"Lagrange, IN"
179037.5,"Allen, IN"
239000.0,"Hancock, IN"
174700.0,"Elkhart, IN"
152500.0,"Jefferson, IN"
250000.0,"Hendricks, IN"
175000.0,"Marshall, IN"
115000.0,"Delaware, IN"
139950.0,"Posey, IN"
156900.0,"Noble, IN"
199900.0,"Tippecanoe, IN"
129000.0,"Montgomery, IN"
199900.0,"Bartholomew, IN"
135000.0,"Perry, IN"
92900.0,"Grant, IN"
140950.0,"Wells, IN"
79900.0,"Fayette, IN"
80000.0,"Sullivan, IN"
149900.0,"Vanderburgh, IN"
339472.5,"Hamilton, IN"
142600.0,"Scott, IN"
249900.0,"Johnson, IN"
179900.0,"Owen, IN"
154950.0,"Decatur, IN"
205500.0,"Kosciusko, IN"
169900.0,"White, IN"
200000.0,"Dearborn, IN"
187650.0,"La Porte, IN"
159900.0,"Putnam, IN"
129900.0,"Howard, IN"
257200.0,"Monroe, IN"
93000.0,"Henry, IN"
139900.0,"Daviess, IN"
129900.0,"Vigo, IN"
144950.0,"Lawrence, IN"
79900.0,"Jay, IN"
134900.0,"Starke, IN"
142900.0,"Jennings, IN"
129800.0,"Crawford, IN"
250000.0,"Porter, IN"
219950.0,"Steuben, IN"
153500.0,"Martin, IN"
225900.0,"Floyd, IN"
135000.0,"Adams, IN"
159900.0,"Jackson, IN"
209900.0,"Morgan, IN"
177450.0,"De Kalb, IN"
219900.0,"Warrick, IN"
122000.0,"Fulton, IN"
201564.5,"Dubois, IN"
166750.0,"Spencer, IN"
194900.0,"Lake, IN"
97200.0,"Miami, IN"
163950.0,"Ohio, IN"
120000.0,"Orange, IN"
149000.0,"Washington, IN"
177900.0,"Harrison, IN"
309000.0,"Brown, IN"
134500.0,"Gibson, IN"
164900.0,"Carroll, IN"
174999.5,"Marion, IN"
154900.0,"Ripley, IN"
158950.0,"Saint Joseph, IN"
124999.0,"Madison, IN"
110000.0,"Cass, IN"
349900.0,"Boone, IN"
79900.0,"Blackford, IN"
219524.0,"Clark, IN"
179900.0,"Switzerland, IN"
159500.0,"Shelby, IN"
89900.0,"Wayne, IN"
200000.0,"Jasper, IN"
177400.0,"Franklin, IN"
159900.0,"Whitley, IN"
187000.0,"Riley, KS"
88500.0,"Allen, KS"
189900.0,"Sedgwick, KS"
249900.0,"Leavenworth, KS"
162200.5,"Grant, KS"
129900.0,"Clay, KS"
150500.0,"Ellis, KS"
249450.0,"Douglas, KS"
164950.0,"McPherson, KS"
154900.0,"Saline, KS"
109000.0,"Linn, KS"
68000.0,"Kingman, KS"
114900.0,"Barton, KS"
89250.0,"Pratt, KS"
135000.0,"Osage, KS"
92000.0,"Russell, KS"
211000.0,"Finney, KS"
129900.0,"Shawnee, KS"
99999.0,"Ellsworth, KS"
133699.0,"Lyon, KS"
85000.0,"Bourbon, KS"
142749.5,"Seward, KS"
147450.0,"Ford, KS"
167000.0,"Franklin, KS"
139900.0,"Morris, KS"
75000.0,"Brown, KS"
128200.0,"Geary, KS"
139000.0,"Harvey, KS"
137900.0,"Wyandotte, KS"
94861.0,"Atchison, KS"
72250.0,"Marshall, KS"
80400.0,"Greenwood, KS"
75000.0,"Montgomery, KS"
109900.0,"Reno, KS"
189900.0,"Butler, KS"
85450.0,"Crawford, KS"
154000.0,"Jefferson, KS"
79450.0,"Cloud, KS"
91950.0,"Phillips, KS"
99900.0,"Sumner, KS"
122500.0,"Stevens, KS"
81121.5,"Cherokee, KS"
94500.0,"Marion, KS"
