county_name,crime_rate_per_100000,IDNO,CPOPARST,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,INDEX,MODINDX,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,FIPS_ST,FIPS_CTY,State
McLeod ,150.34244669999998,1369,36666,36666,7,7,100.0,54,699,1,23,1,29,97,577,25,5,35918,27,85,MN
Kerr ,150.14113269999999,2683,50529,50529,3,3,100.0,75,1012,2,12,8,53,221,754,37,6,49953,48,265,TX
Jay ,150.02344119999998,742,21519,19147,4,3,100.0,32,372,0,0,4,28,52,300,19,0,21330,18,75,IN
Marshall ,149.970006,954,10056,10056,5,5,86.3912,15,158,0,1,0,13,44,104,10,1,10002,20,117,KS
Latah ,149.692736,586,37960,37960,2,2,100.0,57,842,0,9,4,44,164,648,30,4,38078,16,57,ID
Jackson ,149.6333982,938,13502,12643,5,3,99.7739,20,233,0,1,0,19,64,156,13,1,13366,20,85,KS
Johnson ,149.2239824,941,558202,555818,19,19,99.3682,846,11410,8,130,126,582,1534,8912,964,87,566933,20,91,KS
Orleans ,149.1653842,1885,42852,42852,11,5,99.6476,63,857,0,5,9,49,192,641,25,4,42235,36,73,NY
Simpson ,149.0909091,1478,27379,27379,3,3,89.3471,41,351,0,1,5,35,133,196,23,2,27500,28,127,MS
Jackson ,149.0727999,471,58914,60069,6,6,100.0,91,1250,0,11,9,71,242,954,54,2,61044,13,157,GA
Grant ,149.00326940000002,731,70012,70012,5,5,100.0,103,1824,3,14,51,35,392,1336,96,10,69126,18,53,IN
Southampton ,148.940865,2934,18611,18611,3,3,100.0,27,354,0,3,4,20,94,226,34,2,18128,51,175,VA
Judith Basin ,148.80952380000002,1635,2018,2018,1,1,100.0,3,4,0,1,0,2,0,1,3,0,2016,30,45,MT
McPherson ,148.80449119999997,952,29390,27869,8,6,98.5031,44,760,1,8,2,33,313,421,26,4,29569,20,113,KS
Pennington ,148.74628130000002,1383,14162,14162,3,3,100.0,21,293,1,12,1,7,42,238,13,2,14118,27,113,MN
Culpeper ,148.43524509999997,2874,47999,47999,3,3,100.0,72,894,1,12,14,45,103,741,49,1,48506,51,47,VA
Concho ,148.40465,2598,4142,4142,1,1,100.0,6,5,0,0,0,6,4,1,0,0,4043,48,95,TX
Shelby ,148.3981135,2141,49304,47460,6,4,98.6557,73,1518,0,10,18,46,362,1119,38,14,49192,39,149,OH
Union ,148.13659750000002,2263,25974,24248,5,2,100.0,38,744,0,13,2,23,188,526,30,7,25652,41,61,OR
Bingham ,147.93552659999997,563,46263,46263,4,4,100.0,67,757,0,16,5,45,212,506,39,4,45290,16,11,ID
Dickinson ,147.8912744,916,19840,19840,5,5,98.9189,29,484,0,4,1,24,158,304,22,1,19609,20,41,KS
Brazoria ,147.7704229,2570,329490,324765,21,21,100.0,488,6328,8,66,91,323,1551,4488,289,28,330242,48,39,TX
Todd ,147.64990569999998,1403,25719,24995,3,4,100.0,36,353,0,10,1,25,89,250,14,1,24382,27,153,MN
Gasconade ,147.6410979,1534,15197,15197,4,4,100.0,22,279,0,0,1,21,74,187,18,3,14901,29,73,MO
Collin ,147.640674,2593,791211,824390,15,21,100.0,1262,17287,11,183,394,674,3489,12879,919,64,854778,48,85,TX
Marion ,147.3595573,859,33464,24415,4,2,92.9005,49,217,0,9,0,40,73,134,10,2,33252,19,125,IA
Pend Oreille ,147.33250619999998,3012,13063,13063,1,1,100.0,19,480,3,3,1,12,162,284,34,0,12896,53,51,WA
Young ,147.21116619999998,2802,18761,18761,3,3,100.0,27,459,0,8,1,18,130,315,14,5,18341,48,503,TX
Iowa ,146.96876909999997,844,16383,16383,3,3,81.2366,24,173,0,1,1,22,40,122,11,1,16330,19,95,IA
Grant ,146.8601304,3103,51563,51341,8,8,100.0,75,993,0,11,1,63,172,798,23,3,51069,55,43,WI
Prince William ,146.8375211,2923,423625,423625,7,6,99.99,644,6977,2,48,214,380,944,5656,377,52,438580,51,153,VA
Perry ,146.8120805,1576,19077,19077,2,2,100.0,28,269,0,1,2,25,64,195,10,3,19072,29,157,MO
