Shoshone,,137,83%,-0.1,ID
Teton,,117,93%,-1.2,ID
Twin Falls,,"1,058",78%,0.42,ID
Valley,,102,83%,-0.11,ID
Washington,,149,86%,-0.48,ID
Adams,,694,90%,-0.45,IL
Alexander,,,79%,1.81,IL
Bond,,146,88%,-0.1,IL
Boone,,813,85%,0.55,IL
Brown,,,82%,1.26,IL
Bureau,,328,85%,0.56,IL
Calhoun,,,90%,-0.37,IL
Carroll,,171,88%,-0.06,IL
Cass,,138,92%,-0.81,IL
Champaign,,"1,632",88%,-0.08,IL
Christian,,424,91%,-0.55,IL
Clark,,229,86%,0.33,IL
Clay,,173,82%,1.28,IL
Clinton,,316,90%,-0.4,IL
Coles,,504,90%,-0.52,IL
Cook,,"54,814",92%,-0.75,IL
Crawford,,218,88%,0.01,IL
Cumberland,,122,89%,-0.28,IL
De Witt,,189,89%,-0.3,IL
DeKalb,,"1,290",91%,-0.61,IL
Douglas,,257,91%,-0.69,IL
DuPage,,"12,244",95%,-1.36,IL
Edgar,,232,84%,0.81,IL
Edwards,,75,81%,1.36,IL
Effingham,,417,94%,-1.18,IL
Fayette,,190,86%,0.31,IL
Ford,,236,83%,1.09,IL
Franklin,,469,85%,0.59,IL
Fulton,,321,92%,-0.77,IL
Gallatin,,,96%,-1.61,IL
Greene,,,90%,-0.53,IL
Grundy,,"1,036",94%,-1.18,IL
Hamilton,,88,98%,-2.02,IL
Hancock,,197,90%,-0.4,IL
Hardin,,,89%,-0.21,IL
Henderson,,65,85%,0.68,IL
Henry,,625,89%,-0.15,IL
Iroquois,,324,89%,-0.25,IL
Jackson,,515,86%,0.37,IL
Jasper,,103,96%,-1.69,IL
Jefferson,,387,85%,0.66,IL
Jersey,,226,86%,0.35,IL
Jo Daviess,,,96%,-1.65,IL
Johnson,,143,93%,-1.01,IL
Kane,,"7,415",87%,0.1,IL
Kankakee,,"1,295",90%,-0.48,IL
Kendall,,"1,936",95%,-1.45,IL
Knox,,569,89%,-0.15,IL
Lake,,"10,843",91%,-0.65,IL
LaSalle,,"1,165",88%,-0.08,IL
Lawrence,,163,78%,2,IL
Lee,,334,86%,0.36,IL
Livingston,,449,89%,-0.23,IL
Logan,,250,81%,1.32,IL
Macon,,"1,013",85%,0.62,IL
Macoupin,,653,87%,0.2,IL
Madison,,"3,065",87%,0.23,IL
Marion,,511,84%,0.77,IL
Marshall,,,83%,1,IL
Mason,,212,87%,0.22,IL
Massac,,170,75%,2.6,IL
McDonough,,254,87%,0.25,IL
McHenry,,"5,493",94%,-1.27,IL
McLean,,"1,599",92%,-0.78,IL
Menard,,173,91%,-0.59,IL
Mercer,,207,94%,-1.22,IL
Monroe,,444,92%,-0.92,IL
Montgomery,,301,84%,0.77,IL
Morgan,,337,80%,1.53,IL
Moultrie,,115,89%,-0.15,IL
Ogle,,744,95%,-1.46,IL
Peoria,,"1,983",84%,0.88,IL
Perry,,184,92%,-0.94,IL
Piatt,,189,94%,-1.25,IL
Pike,,158,87%,0.26,IL
Pope,,,84%,0.78,IL
Pulaski,,,85%,0.65,IL
Putnam,,66,82%,1.26,IL
Randolph,,307,87%,0.19,IL
Richland,,184,91%,-0.6,IL
Rock Island,,"1,584",93%,-0.99,IL
Saline,,306,82%,1.28,IL
Sangamon,,"2,170",84%,0.77,IL
Schuyler,,90,92%,-0.87,IL
Scott,,,93%,-1.14,IL
Shelby,,152,90%,-0.48,IL
St. Clair,,"3,123",89%,-0.24,IL
Stark,,76,86%,0.49,IL
Stephenson,,467,81%,1.52,IL
Tazewell,,"1,341",88%,0,IL
Union,,208,92%,-0.82,IL
Vermilion,,969,80%,1.66,IL
Wabash,,148,85%,0.7,IL
Warren,,212,89%,-0.15,IL
Washington,,150,94%,-1.33,IL
Wayne,(Click for info),182,70%,3,IL
White,,147,91%,-0.68,IL
Whiteside,,657,88%,-0.07,IL
Will,,"8,619",91%,-0.69,IL
Williamson,,722,87%,0.25,IL
Winnebago,,"3,241",79%,1.75,IL
Woodford,,591,90%,-0.53,IL
Adams,,390,93%,-0.42,IN
Allen,,"3,763",92%,-0.16,IN
Bartholomew,,911,89%,0.39,IN
Benton,,139,94%,-0.67,IN
Blackford,,124,97%,-1.21,IN
Boone,,790,95%,-0.85,IN
Brown,,151,98%,-1.47,IN
Carroll,,224,93%,-0.38,IN
Cass,,435,91%,0.11,IN
Clark,,"1,217",91%,-0.08,IN
Clay,,277,90%,0.33,IN
Clinton,,418,90%,0.19,IN
Crawford,,110,88%,0.61,IN
Daviess,,305,95%,-0.78,IN
Dearborn,,682,94%,-0.68,IN
Decatur,,298,96%,-0.97,IN
DeKalb,,588,91%,-0.05,IN
Delaware,,"1,229",91%,0.07,IN
Dubois,,540,93%,-0.4,IN
Elkhart,,"2,503",91%,0.06,IN
Fayette,,268,92%,-0.15,IN
Floyd,,908,94%,-0.63,IN
Fountain,,219,93%,-0.44,IN
Franklin,,364,96%,-0.96,IN
Fulton,,183,93%,-0.39,IN
Gibson,,363,92%,-0.26,IN
Grant,,749,96%,-1.01,IN
