Price-RangeQ32018,Number of Records,Q3 2018 Price
"$150,000-$350,000",1,"$198,142"
"Less than $150,000",1,"$93,481"
"Less than $150,000",1,"$86,943"
"Less than $150,000",1,"$64,568"
"Less than $150,000",1,"$90,008"
"Less than $150,000",1,"$119,651"
"Less than $150,000",1,"$98,896"
"Less than $150,000",1,"$110,952"
"Less than $150,000",1,"$101,144"
"Less than $150,000",1,"$94,707"
"Less than $150,000",1,"$143,745"
"Less than $150,000",1,"$146,403"
"Less than $150,000",1,"$98,692"
"$150,000-$350,000",1,"$249,599"
"$150,000-$350,000",1,"$161,670"
"$150,000-$350,000",1,"$251,703"
"Less than $150,000",1,"$83,469"
"$150,000-$350,000",1,"$276,326"
"Less than $150,000",1,"$138,230"
"Less than $150,000",1,"$73,968"
"Less than $150,000",1,"$119,023"
"Less than $150,000",1,"$111,871"
"Less than $150,000",1,"$103,493"
"Less than $150,000",1,"$96,648"
"$150,000-$350,000",1,"$239,812"
"$150,000-$350,000",1,"$167,069"
"Less than $150,000",1,"$96,003"
"Less than $150,000",1,"$104,464"
"Less than $150,000",1,"$139,710"
"Less than $150,000",1,"$73,457"
"Less than $150,000",1,"$101,865"
"Less than $150,000",1,"$82,754"
"Less than $150,000",1,"$84,286"
"Less than $150,000",1,"$134,724"
"Less than $150,000",1,"$108,595"
"$150,000-$350,000",1,"$207,549"
"Less than $150,000",1,"$82,754"
"Less than $150,000",1,"$105,639"
"Less than $150,000",1,"$109,828"
"Less than $150,000",1,"$142,929"
"Less than $150,000",1,"$129,082"
"Less than $150,000",1,"$82,243"
"Less than $150,000",1,"$133,625"
"Less than $150,000",1,"$76,318"
"Less than $150,000",1,"$85,921"
"Less than $150,000",1,"$64,875"
"Less than $150,000",1,"$123,416"
"Less than $150,000",1,"$102,063"
"Less than $150,000",1,"$85,002"
"Less than $150,000",1,"$121,200"
"Less than $150,000",1,"$136,419"
"Less than $150,000",1,"$72,027"
"Less than $150,000",1,"$142,452"
"Less than $150,000",1,"$85,206"
"Less than $150,000",1,"$89,395"
"Less than $150,000",1,"$88,680"
"Less than $150,000",1,"$84,411"
"Less than $150,000",1,"$99,816"
"Less than $150,000",1,"$138,450"
"Less than $150,000",1,"$100,735"
"Less than $150,000",1,"$76,440"
"Less than $150,000",1,"$80,711"
"Less than $150,000",1,"$85,717"
"Less than $150,000",1,"$110,441"
"Less than $150,000",1,"$80,302"
"Less than $150,000",1,"$71,209"
"Less than $150,000",1,"$104,413"
"$150,000-$350,000",1,"$242,338"
"Less than $150,000",1,"$129,341"
"Less than $150,000",1,"$126,804"
"$150,000-$350,000",1,"$158,073"
"Less than $150,000",1,"$127,800"
"Less than $150,000",1,"$147,076"
"$150,000-$350,000",1,"$156,045"
"Less than $150,000",1,"$92,669"
"Less than $150,000",1,"$73,628"
"$150,000-$350,000",1,"$242,963"
"$150,000-$350,000",1,"$191,651"
"Less than $150,000",1,"$135,456"
"Less than $150,000",1,"$90,395"
"Less than $150,000",1,"$147,272"
"Less than $150,000",1,"$104,076"
"Less than $150,000",1,"$111,462"
"Less than $150,000",1,"$93,190"
"Less than $150,000",1,"$124,038"
"$150,000-$350,000",1,"$173,457"
"Less than $150,000",1,"$130,917"
"Less than $150,000",1,"$122,104"
"Less than $150,000",1,"$100,461"
"$150,000-$350,000",1,"$156,929"
"$150,000-$350,000",1,"$154,876"
"Less than $150,000",1,"$87,493"
"$150,000-$350,000",1,"$183,232"
"Less than $150,000",1,"$100,499"
"$150,000-$350,000",1,"$164,181"
"Less than $150,000",1,"$100,606"
"Less than $150,000",1,"$111,515"
"Less than $150,000",1,"$107,056"
"Less than $150,000",1,"$107,027"
"$150,000-$350,000",1,"$292,191"
"$150,000-$350,000",1,"$175,972"
"Less than $150,000",1,"$146,414"
"$150,000-$350,000",1,"$204,698"
"Less than $150,000",1,"$101,896"
"Less than $150,000",1,"$108,941"
"Less than $150,000",1,"$110,388"
"Less than $150,000",1,"$123,178"
"$150,000-$350,000",1,"$161,208"
"Less than $150,000",1,"$91,363"
"Less than $150,000",1,"$128,983"
"Less than $150,000",1,"$107,378"
"$150,000-$350,000",1,"$180,577"
"Less than $150,000",1,"$93,727"
"$150,000-$350,000",1,"$166,495"
"$150,000-$350,000",1,"$185,412"
"$150,000-$350,000",1,"$154,894"
"Less than $150,000",1,"$139,943"
"Less than $150,000",1,"$117,374"
"$150,000-$350,000",1,"$150,646"
