Price-RangeQ32018,Number of Records,Q3 2018 Price
"$150,000-$350,000",1,"$226,100"
"$150,000-$350,000",1,"$226,849"
"$150,000-$350,000",1,"$237,310"
"$150,000-$350,000",1,"$211,066"
"$150,000-$350,000",1,"$181,122"
"$150,000-$350,000",1,"$171,106"
"Less than $150,000",1,"$91,196"
"$150,000-$350,000",1,"$212,208"
"Less than $150,000",1,"$132,226"
"$150,000-$350,000",1,"$151,830"
"Less than $150,000",1,"$76,958"
"Less than $150,000",1,"$114,602"
"Less than $150,000",1,"$100,733"
"Less than $150,000",1,"$130,036"
"$150,000-$350,000",1,"$158,191"
"Less than $150,000",1,"$119,504"
"Less than $150,000",1,"$101,255"
"Less than $150,000",1,"$94,894"
"$150,000-$350,000",1,"$189,788"
"$150,000-$350,000",1,"$162,675"
"Less than $150,000",1,"$113,247"
"Less than $150,000",1,"$127,116"
"Less than $150,000",1,"$125,343"
"Less than $150,000",1,"$100,838"
"Less than $150,000",1,"$149,744"
"Less than $150,000",1,"$120,129"
"Less than $150,000",1,"$80,399"
"Less than $150,000",1,"$108,137"
"$150,000-$350,000",1,"$171,017"
"$150,000-$350,000",1,"$181,237"
"Less than $150,000",1,"$120,859"
"Less than $150,000",1,"$108,137"
"Less than $150,000",1,"$106,260"
"$150,000-$350,000",1,"$161,424"
"Less than $150,000",1,"$114,707"
"$150,000-$350,000",1,"$154,854"
"$150,000-$350,000",1,"$165,908"
"Less than $150,000",1,"$145,365"
"$150,000-$350,000",1,"$179,568"
"Less than $150,000",1,"$88,637"
"Less than $150,000",1,"$96,145"
"$150,000-$350,000",1,"$182,071"
"$150,000-$350,000",1,"$164,199"
"Less than $150,000",1,"$122,374"
"Less than $150,000",1,"$147,940"
"$150,000-$350,000",1,"$224,851"
"Less than $150,000",1,"$108,040"
"$150,000-$350,000",1,"$183,026"
"$150,000-$350,000",1,"$161,739"
"$350,000-$550,000",1,"$353,790"
"$350,000-$550,000",1,"$384,436"
"$150,000-$350,000",1,"$265,207"
"$150,000-$350,000",1,"$342,094"
"$150,000-$350,000",1,"$179,981"
"$150,000-$350,000",1,"$179,697"
"$150,000-$350,000",1,"$187,621"
"$150,000-$350,000",1,"$215,850"
"Less than $150,000",1,"$127,959"
"$350,000-$550,000",1,"$370,301"
"$150,000-$350,000",1,"$251,171"
"$350,000-$550,000",1,"$422,705"
"$150,000-$350,000",1,"$250,303"
"$350,000-$550,000",1,"$368,239"
"Less than $150,000",1,"$98,663"
"Less than $150,000",1,"$55,511"
"Less than $150,000",1,"$70,108"
"Less than $150,000",1,"$81,189"
"$150,000-$350,000",1,"$325,289"
"Less than $150,000",1,"$100,474"
"Less than $150,000",1,"$86,516"
"Less than $150,000",1,"$95,786"
"Less than $150,000",1,"$90,139"
"Less than $150,000",1,"$71,600"
"$150,000-$350,000",1,"$190,294"
"Less than $150,000",1,"$137,872"
"Less than $150,000",1,"$80,337"
"Less than $150,000",1,"$139,257"
"Less than $150,000",1,"$74,370"
"Less than $150,000",1,"$124,234"
"Less than $150,000",1,"$80,763"
"Less than $150,000",1,"$64,461"
"Less than $150,000",1,"$106,228"
"$150,000-$350,000",1,"$171,328"
"Less than $150,000",1,"$98,876"
"Less than $150,000",1,"$80,550"
"Less than $150,000",1,"$72,878"
"Less than $150,000",1,"$109,767"
"Less than $150,000",1,"$106,809"
"Less than $150,000",1,"$126,037"
"$150,000-$350,000",1,"$168,507"
"$150,000-$350,000",1,"$177,699"
"Less than $150,000",1,"$98,358"
"Less than $150,000",1,"$88,109"
"Less than $150,000",1,"$133,657"
"$150,000-$350,000",1,"$191,044"
"$150,000-$350,000",1,"$151,750"
"Less than $150,000",1,"$97,784"
"$150,000-$350,000",1,"$206,458"
"$150,000-$350,000",1,"$219,328"
"Less than $150,000",1,"$141,754"
"$150,000-$350,000",1,"$156,986"
"$150,000-$350,000",1,"$200,691"
"Less than $150,000",1,"$95,777"
"$150,000-$350,000",1,"$170,417"
"$150,000-$350,000",1,"$154,306"
"Less than $150,000",1,"$131,256"
"$150,000-$350,000",1,"$197,493"
"$350,000-$550,000",1,"$353,561"
"$150,000-$350,000",1,"$218,260"
"Less than $150,000",1,"$75,491"
"Less than $150,000",1,"$109,426"
"Less than $150,000",1,"$72,046"
"Less than $150,000",1,"$83,949"
"$150,000-$350,000",1,"$172,388"
"$150,000-$350,000",1,"$159,649"
"Less than $150,000",1,"$122,269"
"Less than $150,000",1,"$53,669"
"Less than $150,000",1,"$129,369"
"Less than $150,000",1,"$68,809"
"Less than $150,000",1,"$93,868"
"Less than $150,000",1,"$84,680"
"$150,000-$350,000",1,"$152,862"
"$150,000-$350,000",1,"$173,850"
"Less than $150,000",1,"$55,653"
"$150,000-$350,000",1,"$211,543"
"Less than $150,000",1,"$147,224"
"Less than $150,000",1,"$89,796"
"Less than $150,000",1,"$117,675"
"Less than $150,000",1,"$68,600"
"Less than $150,000",1,"$84,367"
"Less than $150,000",1,"$119,032"
"Less than $150,000",1,"$121,851"
"Less than $150,000",1,"$89,483"
"Less than $150,000",1,"$120,912"
"Less than $150,000",1,"$71,628"
"Less than $150,000",1,"$81,547"
"Less than $150,000",1,"$122,582"
"Less than $150,000",1,"$120,181"
"Less than $150,000",1,"$126,654"
"Less than $150,000",1,"$85,933"
"$150,000-$350,000",1,"$181,054"
"Less than $150,000",1,"$84,889"
"Less than $150,000",1,"$91,989"
"Less than $150,000",1,"$58,263"
"Less than $150,000",1,"$81,130"
"Less than $150,000",1,"$81,130"
"Less than $150,000",1,"$110,575"
"$150,000-$350,000",1,"$162,051"
"$150,000-$350,000",1,"$197,552"
"Less than $150,000",1,"$85,306"
"Less than $150,000",1,"$56,906"
"Less than $150,000",1,"$111,410"
"Less than $150,000",1,"$47,300"
"Less than $150,000",1,"$85,620"
"Less than $150,000",1,"$124,148"
"Less than $150,000",1,"$77,580"
"Less than $150,000",1,"$85,202"
"Less than $150,000",1,"$99,924"
"Less than $150,000",1,"$76,013"
"Less than $150,000",1,"$80,712"
"$150,000-$350,000",1,"$165,288"
"Less than $150,000",1,"$127,698"
"Less than $150,000",1,"$40,199"
"Less than $150,000",1,"$89,587"
"Less than $150,000",1,"$86,037"
"Less than $150,000",1,"$146,597"
"Less than $150,000",1,"$59,620"
"$150,000-$350,000",1,"$173,417"
"$150,000-$350,000",1,"$226,497"
"Less than $150,000",1,"$130,368"
"$150,000-$350,000",1,"$205,651"
"Less than $150,000",1,"$119,243"
"$150,000-$350,000",1,"$178,968"
"$150,000-$350,000",1,"$204,049"
"Less than $150,000",1,"$119,816"
"Less than $150,000",1,"$142,132"
"Less than $150,000",1,"$148,090"
"$150,000-$350,000",1,"$190,932"
"Less than $150,000",1,"$130,519"
"Less than $150,000",1,"$148,718"
"$150,000-$350,000",1,"$199,748"
"$150,000-$350,000",1,"$160,446"
"$150,000-$350,000",1,"$153,752"
"Less than $150,000",1,"$122,803"
"Less than $150,000",1,"$141,580"
"Less than $150,000",1,"$141,204"
"Less than $150,000",1,"$96,568"
"Less than $150,000",1,"$141,095"
"Less than $150,000",1,"$100,922"
"Less than $150,000",1,"$94,499"
"Less than $150,000",1,"$111,809"
"Less than $150,000",1,"$98,310"
"Less than $150,000",1,"$116,709"
"Less than $150,000",1,"$128,467"
"Less than $150,000",1,"$105,277"
"$150,000-$350,000",1,"$153,289"
"Less than $150,000",1,"$99,943"
"Less than $150,000",1,"$142,729"
"Less than $150,000",1,"$106,801"
"Less than $150,000",1,"$112,898"
"Less than $150,000",1,"$131,297"
"Less than $150,000",1,"$103,209"
"Less than $150,000",1,"$131,079"
"Less than $150,000",1,"$125,963"
"Less than $150,000",1,"$89,709"
"Less than $150,000",1,"$90,906"
"Less than $150,000",1,"$92,975"
"Less than $150,000",1,"$116,926"
"Less than $150,000",1,"$113,551"
"Less than $150,000",1,"$100,922"
"Less than $150,000",1,"$105,604"
"Less than $150,000",1,"$103,318"
"Less than $150,000",1,"$112,136"
"Less than $150,000",1,"$117,253"
"Less than $150,000",1,"$124,221"
"Less than $150,000",1,"$81,761"
"Less than $150,000",1,"$88,185"
"Less than $150,000",1,"$107,564"
"Less than $150,000",1,"$96,132"
"Less than $150,000",1,"$127,922"
"Less than $150,000",1,"$134,672"
"Less than $150,000",1,"$95,261"
"Less than $150,000",1,"$129,882"
"$150,000-$350,000",1,"$205,329"
"Less than $150,000",1,"$128,902"
"Less than $150,000",1,"$125,418"
"$150,000-$350,000",1,"$180,724"
"Less than $150,000",1,"$99,725"
"Less than $150,000",1,"$95,370"
"Less than $150,000",1,"$124,874"
"Less than $150,000",1,"$91,668"
"Less than $150,000",1,"$141,204"
"$150,000-$350,000",1,"$174,627"
"Less than $150,000",1,"$124,329"
"Less than $150,000",1,"$147,954"
"Less than $150,000",1,"$94,390"
"$150,000-$350,000",1,"$202,389"
"Less than $150,000",1,"$103,426"
"Less than $150,000",1,"$118,233"
"Less than $150,000",1,"$104,951"
"Less than $150,000",1,"$102,664"
"Less than $150,000",1,"$106,366"
"$150,000-$350,000",1,"$167,064"
"$150,000-$350,000",1,"$188,916"
"$150,000-$350,000",1,"$193,975"
"$150,000-$350,000",1,"$207,754"
"Less than $150,000",1,"$122,930"
"Less than $150,000",1,"$121,614"
"Less than $150,000",1,"$128,618"
"$150,000-$350,000",1,"$172,446"
"$150,000-$350,000",1,"$174,880"
"Less than $150,000",1,"$116,762"
"Less than $150,000",1,"$120,558"
"Less than $150,000",1,"$149,182"
"$150,000-$350,000",1,"$168,805"
"$150,000-$350,000",1,"$189,600"
"$150,000-$350,000",1,"$278,228"
"$150,000-$350,000",1,"$162,689"
"Less than $150,000",1,"$116,540"
"Less than $150,000",1,"$124,213"
"$150,000-$350,000",1,"$191,602"
"$150,000-$350,000",1,"$240,864"
"Less than $150,000",1,"$134,221"
"$150,000-$350,000",1,"$265,106"
"Less than $150,000",1,"$142,339"
"$350,000-$550,000",1,"$501,967"
"$150,000-$350,000",1,"$289,348"
"$150,000-$350,000",1,"$186,688"
"Less than $150,000",1,"$145,251"
"Less than $150,000",1,"$93,577"
"$150,000-$350,000",1,"$230,806"
"$150,000-$350,000",1,"$163,523"
"Less than $150,000",1,"$127,975"
"$150,000-$350,000",1,"$151,970"
"Less than $150,000",1,"$117,485"
"Less than $150,000",1,"$133,845"
"Less than $150,000",1,"$143,456"
"Less than $150,000",1,"$138,809"
"$150,000-$350,000",1,"$167,706"
"Less than $150,000",1,"$145,007"
"Less than $150,000",1,"$117,186"
"Less than $150,000",1,"$117,608"
"Less than $150,000",1,"$124,521"
"Less than $150,000",1,"$118,026"
"Less than $150,000",1,"$117,916"
"$150,000-$350,000",1,"$155,203"
"Less than $150,000",1,"$103,529"
"$150,000-$350,000",1,"$178,725"
"$150,000-$350,000",1,"$172,476"
"$150,000-$350,000",1,"$304,123"
"$150,000-$350,000",1,"$204,688"
"$150,000-$350,000",1,"$320,714"
"Less than $150,000",1,"$144,790"
"$150,000-$350,000",1,"$183,788"
"$150,000-$350,000",1,"$171,672"
"Less than $150,000",1,"$60,734"
"Less than $150,000",1,"$145,444"
"$150,000-$350,000",1,"$188,563"
"$150,000-$350,000",1,"$210,088"
"$150,000-$350,000",1,"$184,581"
"$150,000-$350,000",1,"$284,136"
"$150,000-$350,000",1,"$222,143"
"$150,000-$350,000",1,"$187,271"
"Less than $150,000",1,"$106,766"
"$150,000-$350,000",1,"$253,354"
"Less than $150,000",1,"$103,215"
"$150,000-$350,000",1,"$169,620"
"Less than $150,000",1,"$134,097"
"Less than $150,000",1,"$112,408"
"Less than $150,000",1,"$95,098"
"$150,000-$350,000",1,"$181,334"
"Less than $150,000",1,"$127,341"
"$150,000-$350,000",1,"$165,668"
"Less than $150,000",1,"$144,503"
"Less than $150,000",1,"$126,050"
"Less than $150,000",1,"$81,018"
"Less than $150,000",1,"$77,417"
"Less than $150,000",1,"$129,311"
"Less than $150,000",1,"$129,170"
"Less than $150,000",1,"$89,678"
"Less than $150,000",1,"$103,562"
"Less than $150,000",1,"$98,602"
"Less than $150,000",1,"$135,336"
"Less than $150,000",1,"$119,976"
"Less than $150,000",1,"$73,038"
"Less than $150,000",1,"$72,179"
"Less than $150,000",1,"$84,316"
"$150,000-$350,000",1,"$247,901"
"Less than $150,000",1,"$114,821"
"Less than $150,000",1,"$114,606"
"Less than $150,000",1,"$121,802"
"Less than $150,000",1,"$70,568"
"Less than $150,000",1,"$66,486"
"Less than $150,000",1,"$102,146"
"$150,000-$350,000",1,"$183,778"
"Less than $150,000",1,"$89,794"
"Less than $150,000",1,"$92,587"
"Less than $150,000",1,"$86,250"
"Less than $150,000",1,"$105,476"
"Less than $150,000",1,"$87,002"
"Less than $150,000",1,"$35,767"
"Less than $150,000",1,"$87,861"
"Less than $150,000",1,"$70,783"
"Less than $150,000",1,"$59,935"
"Less than $150,000",1,"$125,347"
"Less than $150,000",1,"$96,239"
"Less than $150,000",1,"$117,936"
"$150,000-$350,000",1,"$155,422"
"Less than $150,000",1,"$48,012"
"Less than $150,000",1,"$87,539"
"Less than $150,000",1,"$86,572"
"Less than $150,000",1,"$61,223"
"Less than $150,000",1,"$82,705"
"Less than $150,000",1,"$71,320"
"Less than $150,000",1,"$94,520"
"Less than $150,000",1,"$107,410"
"Less than $150,000",1,"$58,216"
"Less than $150,000",1,"$70,031"
"Less than $150,000",1,"$69,924"
"Less than $150,000",1,"$52,094"
"Less than $150,000",1,"$64,231"
"Less than $150,000",1,"$78,194"
"Less than $150,000",1,"$137,806"
"Less than $150,000",1,"$67,668"
"Less than $150,000",1,"$105,476"
"$150,000-$350,000",1,"$170,459"
"Less than $150,000",1,"$64,983"
"Less than $150,000",1,"$64,983"
"Less than $150,000",1,"$50,912"
"Less than $150,000",1,"$139,955"
"Less than $150,000",1,"$92,480"
"Less than $150,000",1,"$81,524"
"Less than $150,000",1,"$119,225"
"Less than $150,000",1,"$83,242"
"$150,000-$350,000",1,"$289,898"
"$150,000-$350,000",1,"$207,945"
"Less than $150,000",1,"$99,783"
"Less than $150,000",1,"$77,013"
"Less than $150,000",1,"$118,258"
"Less than $150,000",1,"$86,142"
"Less than $150,000",1,"$52,308"
"Less than $150,000",1,"$116,539"
"Less than $150,000",1,"$100,428"
"Less than $150,000",1,"$41,245"
"$150,000-$350,000",1,"$152,199"
"$150,000-$350,000",1,"$157,785"
"Less than $150,000",1,"$52,845"
"Less than $150,000",1,"$140,384"
"Less than $150,000",1,"$124,595"
"Less than $150,000",1,"$100,643"
"Less than $150,000",1,"$88,398"
"$150,000-$350,000",1,"$183,455"
"Less than $150,000",1,"$104,402"
"Less than $150,000",1,"$86,142"
"Less than $150,000",1,"$92,050"
"Less than $150,000",1,"$47,368"
"Less than $150,000",1,"$81,094"
"Less than $150,000",1,"$87,431"
"Less than $150,000",1,"$103,865"
"Less than $150,000",1,"$104,617"
"Less than $150,000",1,"$119,547"
"Less than $150,000",1,"$66,379"
"Less than $150,000",1,"$79,268"
"Less than $150,000",1,"$101,072"
"Less than $150,000",1,"$75,724"
"$150,000-$350,000",1,"$176,152"
"Less than $150,000",1,"$115,143"
"Less than $150,000",1,"$41,675"
"Less than $150,000",1,"$68,957"
"Less than $150,000",1,"$93,231"
"Less than $150,000",1,"$47,690"
"Less than $150,000",1,"$94,628"
"Less than $150,000",1,"$67,346"
"Less than $150,000",1,"$76,046"
"$150,000-$350,000",1,"$153,918"
"Less than $150,000",1,"$148,547"
"Less than $150,000",1,"$109,880"
"Less than $150,000",1,"$91,083"
"Less than $150,000",1,"$99,246"
"Less than $150,000",1,"$91,191"
"$150,000-$350,000",1,"$198,171"
"Less than $150,000",1,"$82,491"
"Less than $150,000",1,"$88,076"
"Less than $150,000",1,"$80,235"
"Less than $150,000",1,"$109,235"
"Less than $150,000",1,"$95,165"
"Less than $150,000",1,"$129,428"
"$150,000-$350,000",1,"$167,989"
"Less than $150,000",1,"$109,773"
"Less than $150,000",1,"$102,146"
"Less than $150,000",1,"$65,305"
"Less than $150,000",1,"$95,057"
"Less than $150,000",1,"$119,439"
"Less than $150,000",1,"$70,568"
"Less than $150,000",1,"$115,036"
"Less than $150,000",1,"$114,284"
"Less than $150,000",1,"$88,398"
"Less than $150,000",1,"$61,546"
"$150,000-$350,000",1,"$152,092"
"Less than $150,000",1,"$95,487"
"Less than $150,000",1,"$78,731"
"Less than $150,000",1,"$70,998"
"Less than $150,000",1,"$109,987"
"Less than $150,000",1,"$93,446"
"Less than $150,000",1,"$95,165"
"Less than $150,000",1,"$104,402"
"Less than $150,000",1,"$92,587"
"Less than $150,000",1,"$73,683"
"Less than $150,000",1,"$91,191"
"Less than $150,000",1,"$54,457"
"Less than $150,000",1,"$122,447"
"Less than $150,000",1,"$94,950"
"Less than $150,000",1,"$112,887"
"Less than $150,000",1,"$70,031"
"Less than $150,000",1,"$56,820"
"Less than $150,000",1,"$86,787"
"Less than $150,000",1,"$145,755"
"Less than $150,000",1,"$82,168"
"Less than $150,000",1,"$98,924"
"Less than $150,000",1,"$87,968"
"Less than $150,000",1,"$104,187"
"Less than $150,000",1,"$78,302"
"Less than $150,000",1,"$96,454"
"Less than $150,000",1,"$84,746"
"Less than $150,000",1,"$78,516"
"Less than $150,000",1,"$93,231"
"$150,000-$350,000",1,"$184,959"
"Less than $150,000",1,"$72,179"
"Less than $150,000",1,"$78,839"
"Less than $150,000",1,"$70,998"
"Less than $150,000",1,"$57,679"
"Less than $150,000",1,"$102,576"
"Less than $150,000",1,"$76,046"
"Less than $150,000",1,"$71,535"
"Less than $150,000",1,"$73,038"
"Less than $150,000",1,"$73,683"
"Less than $150,000",1,"$103,435"
"Less than $150,000",1,"$80,879"
"Less than $150,000",1,"$87,539"
"Less than $150,000",1,"$67,561"
"Less than $150,000",1,"$83,565"
"Less than $150,000",1,"$101,502"
"Less than $150,000",1,"$120,943"
"$150,000-$350,000",1,"$167,989"
"Less than $150,000",1,"$91,943"
"$150,000-$350,000",1,"$175,507"
"Less than $150,000",1,"$124,273"
"Less than $150,000",1,"$92,909"
"Less than $150,000",1,"$75,079"
"Less than $150,000",1,"$52,738"
"Less than $150,000",1,"$62,512"
"Less than $150,000",1,"$125,669"
"Less than $150,000",1,"$87,968"
"Less than $150,000",1,"$93,983"
"Less than $150,000",1,"$65,198"
"Less than $150,000",1,"$42,856"
"$150,000-$350,000",1,"$155,141"
"Less than $150,000",1,"$148,783"
"$350,000-$550,000",1,"$354,363"
"$150,000-$350,000",1,"$191,696"
"Less than $150,000",1,"$80,074"
"$150,000-$350,000",1,"$307,370"
"$150,000-$350,000",1,"$208,565"
"$150,000-$350,000",1,"$150,399"
"$150,000-$350,000",1,"$168,911"
"$150,000-$350,000",1,"$199,692"
"$150,000-$350,000",1,"$236,717"
"$150,000-$350,000",1,"$291,816"
"$150,000-$350,000",1,"$203,964"
"$150,000-$350,000",1,"$176,141"
"Less than $150,000",1,"$89,232"
"$150,000-$350,000",1,"$195,584"
"Less than $150,000",1,"$134,389"
"$150,000-$350,000",1,"$253,426"
"$150,000-$350,000",1,"$347,488"
"$150,000-$350,000",1,"$294,619"
"$150,000-$350,000",1,"$203,708"
"Less than $150,000",1,"$106,343"
"Less than $150,000",1,"$100,358"
"$150,000-$350,000",1,"$155,589"
"Less than $150,000",1,"$138,825"
"$150,000-$350,000",1,"$311,958"
"$150,000-$350,000",1,"$161,460"
"$150,000-$350,000",1,"$196,865"
"Less than $150,000",1,"$142,387"
"$150,000-$350,000",1,"$222,405"
"$150,000-$350,000",1,"$195,221"
"Less than $150,000",1,"$149,293"
"$150,000-$350,000",1,"$182,287"
"$150,000-$350,000",1,"$253,097"
"$150,000-$350,000",1,"$200,702"
"$150,000-$350,000",1,"$208,484"
"$150,000-$350,000",1,"$164,748"
"$150,000-$350,000",1,"$157,624"
"$150,000-$350,000",1,"$175,819"
"Less than $150,000",1,"$149,731"
"$150,000-$350,000",1,"$185,685"
"$150,000-$350,000",1,"$167,489"
"$150,000-$350,000",1,"$213,526"
"$350,000-$550,000",1,"$391,648"
"$150,000-$350,000",1,"$192,700"
"$150,000-$350,000",1,"$238,659"
"$150,000-$350,000",1,"$198,747"
"$150,000-$350,000",1,"$336,785"
"$150,000-$350,000",1,"$320,787"
"$350,000-$550,000",1,"$352,775"
"$150,000-$350,000",1,"$250,686"
"$150,000-$350,000",1,"$339,715"
"$550,000-$750,000",1,"$628,648"
"$150,000-$350,000",1,"$252,225"
"$150,000-$350,000",1,"$309,038"
"$150,000-$350,000",1,"$219,945"
"$150,000-$350,000",1,"$288,948"
"$150,000-$350,000",1,"$247,640"
"$150,000-$350,000",1,"$217,965"
"$150,000-$350,000",1,"$171,885"
"Less than $150,000",1,"$134,687"
"$150,000-$350,000",1,"$235,311"
"$150,000-$350,000",1,"$196,754"
"$150,000-$350,000",1,"$168,333"
"$150,000-$350,000",1,"$185,573"
"$150,000-$350,000",1,"$226,951"
"$150,000-$350,000",1,"$221,518"
"$150,000-$350,000",1,"$226,011"
"Less than $150,000",1,"$120,902"
"$150,000-$350,000",1,"$251,623"
"Less than $150,000",1,"$147,405"
"$150,000-$350,000",1,"$169,579"
"$150,000-$350,000",1,"$243,356"
"$150,000-$350,000",1,"$226,345"
"$150,000-$350,000",1,"$160,812"
"Less than $150,000",1,"$116,210"
"$150,000-$350,000",1,"$216,564"
"$150,000-$350,000",1,"$154,572"
"Less than $150,000",1,"$111,811"
"Less than $150,000",1,"$113,448"
"Less than $150,000",1,"$73,552"
"Less than $150,000",1,"$135,544"
"Less than $150,000",1,"$109,765"
"Less than $150,000",1,"$109,970"
"$150,000-$350,000",1,"$272,521"
"Less than $150,000",1,"$79,281"
"$150,000-$350,000",1,"$181,271"
"$150,000-$350,000",1,"$157,334"
"Less than $150,000",1,"$97,899"
"Less than $150,000",1,"$91,454"
"Less than $150,000",1,"$113,346"
"Less than $150,000",1,"$96,467"
"$150,000-$350,000",1,"$188,228"
"$150,000-$350,000",1,"$301,062"
"$150,000-$350,000",1,"$232,113"
"Less than $150,000",1,"$83,577"
"Less than $150,000",1,"$110,891"
"$150,000-$350,000",1,"$262,393"
"Less than $150,000",1,"$128,179"
"$150,000-$350,000",1,"$254,107"
"$150,000-$350,000",1,"$169,610"
"$150,000-$350,000",1,"$284,285"
"Less than $150,000",1,"$137,897"
"$150,000-$350,000",1,"$240,604"
"$150,000-$350,000",1,"$176,157"
"Less than $150,000",1,"$118,665"
"$150,000-$350,000",1,"$158,357"
"$350,000-$550,000",1,"$366,839"
"$150,000-$350,000",1,"$166,950"
"$150,000-$350,000",1,"$201,731"
"Less than $150,000",1,"$97,080"
"$150,000-$350,000",1,"$208,687"
"Less than $150,000",1,"$91,659"
"$150,000-$350,000",1,"$176,770"
"Less than $150,000",1,"$98,717"
"$150,000-$350,000",1,"$207,767"
"Less than $150,000",1,"$86,442"
"Less than $150,000",1,"$130,327"
"Less than $150,000",1,"$114,266"
"Less than $150,000",1,"$73,859"
"Less than $150,000",1,"$118,358"
"$150,000-$350,000",1,"$190,376"
"Less than $150,000",1,"$107,924"
"$150,000-$350,000",1,"$258,302"
"Less than $150,000",1,"$92,170"
"Less than $150,000",1,"$94,625"
"$150,000-$350,000",1,"$166,234"
"$150,000-$350,000",1,"$165,313"
"$150,000-$350,000",1,"$162,952"
"$150,000-$350,000",1,"$163,167"
"$150,000-$350,000",1,"$213,935"
"$150,000-$350,000",1,"$165,964"
"$150,000-$350,000",1,"$172,525"
"$150,000-$350,000",1,"$228,828"
"$150,000-$350,000",1,"$171,413"
"$150,000-$350,000",1,"$183,998"
"$150,000-$350,000",1,"$204,593"
"Less than $150,000",1,"$141,769"
"$150,000-$350,000",1,"$180,982"
"$750,000-$1,000,000",1,"$780,073"
"$350,000-$550,000",1,"$353,479"
"$550,000-$750,000",1,"$601,689"
"$350,000-$550,000",1,"$413,966"
"$350,000-$550,000",1,"$539,928"
"$350,000-$550,000",1,"$401,975"
"$150,000-$350,000",1,"$303,391"
"$350,000-$550,000",1,"$367,593"
"$150,000-$350,000",1,"$245,133"
"$550,000-$750,000",1,"$608,268"
"$350,000-$550,000",1,"$532,606"
"$750,000-$1,000,000",1,"$787,396"
"$350,000-$550,000",1,"$362,075"
"$150,000-$350,000",1,"$325,782"
"$150,000-$350,000",1,"$279,409"
"$350,000-$550,000",1,"$357,599"
"$150,000-$350,000",1,"$242,618"
"$150,000-$350,000",1,"$257,935"
"$150,000-$350,000",1,"$246,128"
"$150,000-$350,000",1,"$295,482"
"$150,000-$350,000",1,"$230,336"
"$150,000-$350,000",1,"$203,843"
"$150,000-$350,000",1,"$198,727"
"$150,000-$350,000",1,"$207,423"
"$150,000-$350,000",1,"$175,000"
"$150,000-$350,000",1,"$258,205"
"$150,000-$350,000",1,"$157,392"
"$150,000-$350,000",1,"$171,886"
"$350,000-$550,000",1,"$351,825"
"$150,000-$350,000",1,"$313,067"
"$150,000-$350,000",1,"$256,595"
"$150,000-$350,000",1,"$182,515"
"$150,000-$350,000",1,"$214,402"
"$150,000-$350,000",1,"$228,573"
"$150,000-$350,000",1,"$275,490"
"$150,000-$350,000",1,"$283,757"
"$150,000-$350,000",1,"$227,714"
"Less than $150,000",1,"$130,552"
"$150,000-$350,000",1,"$175,322"
"Less than $150,000",1,"$131,411"
"Less than $150,000",1,"$121,212"
"$150,000-$350,000",1,"$250,368"
"$150,000-$350,000",1,"$232,453"
"$150,000-$350,000",1,"$258,385"
"$350,000-$550,000",1,"$360,349"
"$150,000-$350,000",1,"$235,669"
"$150,000-$350,000",1,"$179,137"
"$150,000-$350,000",1,"$340,745"
"$150,000-$350,000",1,"$280,272"
"$150,000-$350,000",1,"$190,962"
"$150,000-$350,000",1,"$199,675"
"$150,000-$350,000",1,"$212,019"
"$150,000-$350,000",1,"$328,609"
"$150,000-$350,000",1,"$181,730"
"$150,000-$350,000",1,"$261,393"
"$150,000-$350,000",1,"$292,823"
"$150,000-$350,000",1,"$318,443"
"Less than $150,000",1,"$94,545"
"Less than $150,000",1,"$143,332"
"Less than $150,000",1,"$119,200"
"$150,000-$350,000",1,"$343,892"
"$150,000-$350,000",1,"$191,852"
"$150,000-$350,000",1,"$268,153"
"$150,000-$350,000",1,"$235,602"
"$150,000-$350,000",1,"$168,058"
"$150,000-$350,000",1,"$286,470"
"$150,000-$350,000",1,"$180,805"
"$150,000-$350,000",1,"$185,501"
"$150,000-$350,000",1,"$160,790"
"$150,000-$350,000",1,"$198,919"
"$150,000-$350,000",1,"$189,191"
"$350,000-$550,000",1,"$406,784"
"$150,000-$350,000",1,"$339,918"
"$150,000-$350,000",1,"$287,030"
"$150,000-$350,000",1,"$245,099"
"$150,000-$350,000",1,"$221,282"
"$150,000-$350,000",1,"$168,282"
"$150,000-$350,000",1,"$231,122"
"$150,000-$350,000",1,"$189,079"
"$150,000-$350,000",1,"$182,706"
"$150,000-$350,000",1,"$207,976"
"$350,000-$550,000",1,"$505,740"
"$150,000-$350,000",1,"$206,411"
"$150,000-$350,000",1,"$226,538"
"$150,000-$350,000",1,"$219,493"
"$150,000-$350,000",1,"$222,959"
"$150,000-$350,000",1,"$324,122"
"$150,000-$350,000",1,"$252,290"
"$150,000-$350,000",1,"$200,196"
"$350,000-$550,000",1,"$404,200"
"$150,000-$350,000",1,"$235,917"
"$350,000-$550,000",1,"$355,160"
"$150,000-$350,000",1,"$268,097"
"$550,000-$750,000",1,"$636,990"
"$150,000-$350,000",1,"$339,291"
"$350,000-$550,000",1,"$461,015"
"$150,000-$350,000",1,"$334,498"
"$150,000-$350,000",1,"$264,345"
"$350,000-$550,000",1,"$374,961"
"Less than $150,000",1,"$104,524"
"Less than $150,000",1,"$81,263"
"Less than $150,000",1,"$130,480"
"Less than $150,000",1,"$122,552"
"Less than $150,000",1,"$141,620"
"Less than $150,000",1,"$91,845"
